Accounting-Control-Number-Numéro-contrôle-comptable,Journal-Voucher-Type-Code-Code-du-type-de-pièce-de-journal,Fiscal-Year-Année-Fiscale,Journal-Voucher-Identifier-Identificateur-de-la-pièce-de-journal,Accounting-Effective-Date-Date-d'entrée-en-vigueur-comptable,DepartmentNumber-Numéro-de-Ministère,Fiscal-Month-Mois-Fiscal,Journal-Voucher-Item-Identifier-Identificateur-de-l'item-de-la-pièce-de-journal,Financial-Coding-Block-Bloc-de-codage-financier,Subleger-Account-Identifier-Compte-du-grand-livre-auxiliaire,Credit/Debit-Code-Code-Crédit/Débit,Journal-Voucher-Item-Amount-Montant-de-l'item-de-la-pièce-de-journal,Control-Data-Type-Type-de-données-de-contrôle,Accounting-Summary-Transaction-Line-Count-Sommaire-comptable-transaction-compte-ligne,GBS-Control-Number-Numéro-de-contrôle-du-SBG,General-Ledger-Account-Code-Code-du-compte-du-grand-livre-général
202532800062,TM010,2025/2026,,2025-11-21,097,08,1,,,DR,1000000000.00,JPD,1,202532500162121,
202532800063,TM219,2025/2026,,2025-11-21,097,08,1,,,DR,200000000.00,JPK,2,202532500162123,
202532800064,TM999,2025/2026,,2025-11-21,097,08,1,,,DR,3350000000.00,JPQ,4,202532500162124,
202532800065,LVTSR,2025/2026,,2025-11-21,097,08,1,,,DR,30603224.95,JMS,1,202532500162111,
202532800066,RGEPA,2025/2026,,2025-11-21,097,08,1,,,DR,1001426201.28,JMZ,1,202532500162113,
202532900000,EPAYR,2025/2026,,2025-11-24,097,08,1,,,DR,3220798.20,JMR,14,202532800162182,
202532900001,JVBDP,2025/2026,,2025-11-24,097,08,1,,,DR,3267024673.12,JMY,68,202532800162183,
202532900002,JVBRT,2025/2026,,2025-11-24,006,08,1,,0060000,DR,199525000.00,CMT,1,202532800162149,
202532900003,JVRDI,2025/2026,,2025-11-24,006,08,1,,0060000,DR,60320.15,CMI,16,202532800162148,
202532900004,JVRGI,2025/2026,,2025-11-24,097,08,1,,,DR,884786407.50,JMG,44,202532800162180,
202532900005,RDBOA,2025/2026,,2025-11-24,097,08,1,,,DR,18650267.64,JND,3,202532800162185,
202532900006,JVLVP,2025/2026,,2025-11-24,097,08,1,,,DR,1308787263.16,JML,2,202532800162181,
202532900007,ADEPT,2025/2026,,2025-11-24,014,08,1,,0145225,DR,200.00,COK,1,202532800162151,
202532900008,ADEPT,2025/2026,,2025-11-24,014,08,1,,0147000,DR,1533.28,COK,2,202532800162152,
202532900009,ADEPT,2025/2026,,2025-11-24,014,08,1,,0147002,DR,740.09,COK,1,202532800162153,
202532900010,ADEPT,2025/2026,,2025-11-24,014,08,1,,0147003,DR,734.95,COK,1,202532800162154,
202532900011,ADEPT,2025/2026,,2025-11-24,014,08,1,,0147004,DR,22408.23,COK,19,202532800162155,
202532900012,ADEPT,2025/2026,,2025-11-24,014,08,1,,0147005,DR,12126.59,COK,9,202532800162156,
202532900013,ADEPT,2025/2026,,2025-11-24,014,08,1,,0147007,DR,11199.36,COK,8,202532800162157,
202532900014,ADEPT,2025/2026,,2025-11-24,014,08,1,,0147008,DR,2565.13,COK,2,202532800162158,
202532900015,ADEPT,2025/2026,,2025-11-24,014,08,1,,0147009,DR,2492.22,COK,2,202532800162159,
202532900016,ADEPT,2025/2026,,2025-11-24,014,08,1,,0147010,DR,1564.70,COK,1,202532800162160,
202532900017,ADEPT,2025/2026,,2025-11-24,014,08,1,,0147011,DR,10301.47,COK,10,202532800162161,
202532900018,ADEPT,2025/2026,,2025-11-24,014,08,1,,0147016,DR,265.00,COK,1,202532800162162,
202532900019,ADEPT,2025/2026,,2025-11-24,014,08,1,,0147021,DR,745.95,COK,1,202532800162163,
202532900020,ADEPT,2025/2026,,2025-11-24,014,08,1,,0147022,DR,1773.97,COK,2,202532800162164,
202532900021,ADEPT,2025/2026,,2025-11-24,014,08,1,,0147025,DR,3090.28,COK,4,202532800162165,
202532900022,ADEPT,2025/2026,,2025-11-24,014,08,1,,0147026,DR,811.14,COK,2,202532800162166,
202532900023,ADEPT,2025/2026,,2025-11-24,014,08,1,,0147027,DR,4329.60,COK,6,202532800162167,
202532900024,ADEPT,2025/2026,,2025-11-24,014,08,1,,0147028,DR,4440.24,COK,3,202532800162168,
202532900025,ADEPT,2025/2026,,2025-11-24,014,08,1,,0147030,DR,298.44,COK,2,202532800162169,
202532900026,ADEPT,2025/2026,,2025-11-24,014,08,1,,0147031,DR,5389.73,COK,8,202532800162171,
202532900027,ADEPT,2025/2026,,2025-11-24,014,08,1,,0147036,DR,5045.53,COK,5,202532800162172,
202532900028,ADEPT,2025/2026,,2025-11-24,014,08,1,,0147507,DR,1919.81,COK,2,202532800162173,
202532900029,ADEPT,2025/2026,,2025-11-24,014,08,1,,0148433,DR,1172.00,COK,1,202532800162174,
202532900030,ADEPT,2025/2026,,2025-11-24,014,08,1,,0148444,DR,1196.00,COK,1,202532800162175,
202532900031,ADEPT,2025/2026,,2025-11-24,014,08,1,,0148455,DR,2424.00,COK,1,202532800162176,
202532900032,ADEPT,2025/2026,,2025-11-24,014,08,1,,0148477,DR,430.00,COK,1,202532800162177,
202532900033,ADEPT,2025/2026,,2025-11-24,014,08,1,,0148488,DR,1252.00,COK,1,202532800162178,
202532900034,ADEPT,2025/2026,,2025-11-24,122,08,1,,1220382,DR,10010.07,COK,3,202532800162200,
202532900035,ADEPT,2025/2026,,2025-11-24,122,08,1,,1220383,DR,788.99,COK,1,202532800162201,
202532900036,ADEPT,2025/2026,,2025-11-24,122,08,1,,1220581,DR,1238.32,COK,16,202532800162202,
202532900037,ADEPT,2025/2026,,2025-11-24,122,08,1,,1220582,DR,1192.49,COK,2,202532800162203,
202532900038,ADEPT,2025/2026,,2025-11-24,122,08,1,,1220583,DR,451.21,COK,2,202532800162204,
202532900039,ADEPT,2025/2026,,2025-11-24,122,08,1,,1220591,DR,66.25,COK,1,202532800162205,
202532900040,ADEPT,2025/2026,,2025-11-24,122,08,1,,1220691,DR,155.89,COK,1,202532800162206,
202532900041,ADEPT,2025/2026,,2025-11-24,122,08,1,,1221491,DR,1441.46,COK,4,202532800162207,
202532900042,ADEPT,2025/2026,,2025-11-24,122,08,1,,1221492,DR,53.25,COK,1,202532800162208,
202532900043,ADEPT,2025/2026,,2025-11-24,122,08,1,,1221494,DR,7214.60,COK,55,202532800162209,
202532900044,ADEPT,2025/2026,,2025-11-24,122,08,1,,1221500,DR,998.25,COK,5,202532800162210,
202532900045,ADEPT,2025/2026,,2025-11-24,122,08,1,,1221560,DR,2570.56,COK,1,202532800162211,
202532900046,ADEPT,2025/2026,,2025-11-24,122,08,1,,1221570,DR,6017.12,COK,15,202532800162212,
202532900047,ADEPT,2025/2026,,2025-11-24,122,08,1,,1221571,DR,137.46,COK,1,202532800162213,
202532900048,ADEPT,2025/2026,,2025-11-24,122,08,1,,1221585,DR,112.13,COK,2,202532800162214,
202532900049,ADEPT,2025/2026,,2025-11-24,122,08,1,,1221589,DR,255.75,COK,1,202532800162215,
202532900050,ADEPT,2025/2026,,2025-11-24,122,08,1,,1221887,DR,2790.58,COK,6,202532800162216,
202532900051,ADEPT,2025/2026,,2025-11-24,122,08,1,,1221890,DR,531.57,COK,1,202532800162217,
202532900052,ADEPT,2025/2026,,2025-11-24,122,08,1,,1222490,DR,38362.11,COK,4,202532800162218,
202532900053,ADEPT,2025/2026,,2025-11-24,122,08,1,,1222509,DR,3325.24,COK,1,202532800162219,
202532900054,ADEPT,2025/2026,,2025-11-24,122,08,1,,1222512,DR,124.36,COK,1,202532800162220,
202532900055,ADEPT,2025/2026,,2025-11-24,122,08,1,,1223710,DR,644.50,COK,1,202532800162221,
202532900056,ADEPT,2025/2026,,2025-11-24,122,08,1,,1224390,DR,623.00,COK,2,202532800162222,
202532900057,ADEPT,2025/2026,,2025-11-24,122,08,1,,1224394,DR,347.00,COK,2,202532800162223,
202532900058,ADEPT,2025/2026,,2025-11-24,122,08,1,,1224395,DR,785.00,COK,2,202532800162224,
202532900059,ADEPT,2025/2026,,2025-11-24,122,08,1,,1224794,DR,194.50,COK,1,202532800162225,
202532900060,AFDEP,2025/2026,,2025-11-24,014,08,1,,0147030,DR,110.54,COL,1,202532800162170,
202532900061,JVEFI,2025/2026,,2025-11-25,005,08,1,,0050054,DR,971.85,CMC,1,202532900162226,
202532900062,JVEFI,2025/2026,,2025-11-25,035,08,1,,0350000,DR,21866.90,CMC,1,202532900162231,
202532900063,JVEFI,2025/2026,,2025-11-25,005,08,1,,0050054,DR,1167.63,CMC,2,202532900162226,
202532900064,JVEFI,2025/2026,,2025-11-25,018,08,1,,0188407,DR,2084.35,CMC,2,202532900162229,
202532900065,JVEFI,2025/2026,,2025-11-25,018,08,1,,0189520,DR,5442.75,CMC,1,202532900162230,
202532900066,JVEFI,2025/2026,,2025-11-25,095,08,1,,0950001,CR,897.75,CMC,1,202532900162233,
202532900067,JVEFI,2025/2026,,2025-11-25,005,08,1,,0050054,CR,2600.87,CMC,3,202532900162226,
202532900068,JVEFI,2025/2026,,2025-11-25,018,08,1,,0180125,DR,14391.87,CMC,1,202532900162228,
202532900069,JVEFI,2025/2026,,2025-11-25,041,08,1,,0410900,DR,1231.99,CMC,1,202532900162232,
202532900070,JVEFR,2025/2026,,2025-11-24,005,08,1,,0050000,DR,1040.83,CME,1,202532800162146,
202532900071,JVFID,2025/2026,,2025-11-25,097,08,1,,,DR,8510.02,JMU,1,202532900162235,
202532900072,JVFIR,2025/2026,,2025-11-25,097,08,1,,,DR,8217312.41,JMT,1,202532900162234,
202532900073,JVFIR,2025/2026,,2025-11-25,097,08,1,,,DR,8604003.09,JMT,1,202532900162234,
202532900074,JVFIR,2025/2026,,2025-11-25,097,08,1,,,DR,5713652.66,JMT,1,202532900162234,
202532900075,JVIVI,2025/2026,,2025-11-25,006,08,1,,0060000,DR,2688.86,CMD,3,202532900162227,
202532900076,JVIVR,2025/2026,,2025-11-24,006,08,1,,0060000,DR,170.56,CMF,1,202532800162147,
202532900077,TDINT,2025/2026,,2025-11-24,006,08,1,,0060000,CR,2335974.79,COQ,13,202532800162150,
202532900078,TI001,2025/2026,,2025-11-24,097,08,1,,,DR,1821192000.00,JOM,1,202532800162186,
202532900079,TI003,2025/2026,,2025-11-24,097,08,1,,,DR,4503312000.00,JOO,2,202532800162187,
202532900080,TI004,2025/2026,,2025-11-24,097,08,1,,,DR,529801000.00,JOP,1,202532800162188,
202532900081,TI010,2025/2026,,2025-11-24,097,08,1,,,DR,1721854000.00,JOL,2,202532800162179,
202532900082,TI219,2025/2026,,2025-11-24,097,08,1,,,DR,201987000.00,JOS,2,202532800162189,
202532900083,TI815,2025/2026,,2025-11-24,097,08,1,,,DR,331126000.00,JOT,1,202532800162190,
202532900084,TI869,2025/2026,,2025-11-24,097,08,1,,,DR,500000000.00,JOU,1,202532800162191,
202532900085,TI999,2025/2026,,2025-11-24,097,08,1,,,DR,1390728000.00,JOY,4,202532800162192,
202532900086,TM001,2025/2026,,2025-11-24,097,08,1,,,DR,1769911000.00,JPE,1,202532800162194,
202532900087,TM003,2025/2026,,2025-11-24,097,08,1,,,DR,2827434000.00,JPG,2,202532800162195,
202532900088,TM010,2025/2026,,2025-11-24,097,08,1,,,DR,2000000000.00,JPD,1,202532800162193,
202532900089,TM219,2025/2026,,2025-11-24,097,08,1,,,DR,294248000.00,JPK,2,202532800162196,
202532900090,TM815,2025/2026,,2025-11-24,097,08,1,,,DR,619469000.00,JPL,1,202532800162197,
202532900091,TM869,2025/2026,,2025-11-24,097,08,1,,,DR,400000000.00,JPM,1,202532800162198,
202532900092,TM999,2025/2026,,2025-11-24,097,08,1,,,DR,3025938000.00,JPQ,5,202532800162199,
202532900093,RGEPA,2025/2026,,2025-11-24,097,08,1,,,DR,703752141.10,JMZ,1,202532800162184,
202533000000,GCMO,2025/2026,00000088013,2025-11-26,006,08,1,8312080,,DR,1.95,,1,,12080
202533000000,GCMO,2025/2026,00000088013,2025-11-26,006,08,2,836B000,0060000,CR,1.95,,1,,6B000
202533000000,GCMO,2025/2026,00000088013,2025-11-26,006,08,3,8312080,,DR,4485828705.72,,1,,12080
202533000000,GCMO,2025/2026,00000088013,2025-11-26,006,08,4,836B000,0060000,CR,4485828705.72,,1,,6B000
202533000000,GCMO,2025/2026,00000088013,2025-11-26,006,08,5,8312080,,DR,13471767.63,,1,,12080
202533000000,GCMO,2025/2026,00000088013,2025-11-26,006,08,6,836B000,0060000,CR,13471767.63,,1,,6B000
202533000000,GCMO,2025/2026,00000088013,2025-11-26,006,08,7,836B000,0060000,DR,4383900737.45,,1,,6B000
202533000000,GCMO,2025/2026,00000088013,2025-11-26,006,08,8,8312080,,CR,4383900737.45,,1,,12080
202533000000,GCMO,2025/2026,00000088013,2025-11-26,006,08,9,8312080,,DR,8567790.26,,1,,12080
202533000000,GCMO,2025/2026,00000088013,2025-11-26,006,08,10,836B000,0060000,CR,8567790.26,,1,,6B000
202533000000,GCMO,2025/2026,00000088013,2025-11-26,006,08,11,8312080,,DR,154517.61,,1,,12080
202533000000,GCMO,2025/2026,00000088013,2025-11-26,006,08,12,836B000,0060000,CR,154517.61,,1,,6B000
202533000000,GCMO,2025/2026,00000088013,2025-11-26,006,08,13,836B000,0060000,DR,398.24,,1,,6B000
202533000000,GCMO,2025/2026,00000088013,2025-11-26,006,08,14,8312080,,CR,398.24,,1,,12080
202533000000,GCMO,2025/2026,00000088013,2025-11-26,006,08,15,8312080,,DR,30277230.72,,1,,12080
202533000000,GCMO,2025/2026,00000088013,2025-11-26,006,08,16,836B000,0060000,CR,30277230.72,,1,,6B000
202533000000,GCMO,2025/2026,00000088013,2025-11-26,006,08,17,836B000,0060000,DR,30277230.72,,1,,6B000
202533000000,GCMO,2025/2026,00000088013,2025-11-26,006,08,18,8312080,,CR,30277230.72,,1,,12080
202533000001,EPAYR,2025/2026,,2025-11-25,097,08,1,,,DR,1305968.11,JMR,14,202532900162265,
202533000002,JVBDP,2025/2026,,2025-11-25,097,08,1,,,DR,1726674878.88,JMY,67,202532900162266,
202533000003,JVBRT,2025/2026,,2025-11-25,006,08,1,,0060000,DR,155690000.00,CMT,1,202532900162238,
202533000004,JVRDI,2025/2026,,2025-11-25,006,08,1,,0060000,DR,34590.50,CMI,16,202532900162237,
202533000005,JVRGI,2025/2026,,2025-11-25,097,08,1,,,DR,1024970076.17,JMG,40,202532900162263,
202533000006,RDBOA,2025/2026,,2025-11-25,097,08,1,,,DR,13967275.19,JND,2,202532900162268,
202533000007,JVLVP,2025/2026,,2025-11-25,097,08,1,,,DR,1284627601.74,JML,2,202532900162264,
202533000008,ADEPT,2025/2026,,2025-11-25,014,08,1,,0147002,DR,1948.86,COK,2,202532900162240,
202533000009,ADEPT,2025/2026,,2025-11-25,014,08,1,,0147003,DR,1623.25,COK,1,202532900162241,
202533000010,ADEPT,2025/2026,,2025-11-25,014,08,1,,0147004,DR,15526.45,COK,18,202532900162242,
202533000011,ADEPT,2025/2026,,2025-11-25,014,08,1,,0147005,DR,3988.91,COK,4,202532900162243,
202533000012,ADEPT,2025/2026,,2025-11-25,014,08,1,,0147006,DR,5302.95,COK,7,202532900162244,
202533000013,ADEPT,2025/2026,,2025-11-25,014,08,1,,0147007,DR,2012.13,COK,3,202532900162245,
202533000014,ADEPT,2025/2026,,2025-11-25,014,08,1,,0147008,DR,690.19,COK,1,202532900162246,
202533000015,ADEPT,2025/2026,,2025-11-25,014,08,1,,0147010,DR,2544.87,COK,2,202532900162247,
202533000016,ADEPT,2025/2026,,2025-11-25,014,08,1,,0147011,DR,8635.76,COK,4,202532900162248,
202533000017,ADEPT,2025/2026,,2025-11-25,014,08,1,,0147021,DR,621.01,COK,1,202532900162249,
